date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics,Tweets_clean,ACTIONS,NOUNS
2018-10-20 02:22:00,51,Miraflores,"Hasta ahora no logro entender porque existe ese desequilibrio emocional en los equipos de Vóley Peruano, y eso que… https://t.co/oRIYrbVmHR",11,97,7.909090909090909,0,0,ahora logro entender existe desequilibrio emocional equipos vóley peruano que… httpstcooriyrbvmhr,logro,"desequilibrio, equipos"
2018-10-20 02:22:02,130,Las Lajas,"Bata tipo poncho para bebe con tema de minie mouse. 
Pedidos al 0988235680
Gracias por la confianza @gavilan777… https://t.co/fgwWyF90kI",13,106,7.230769230769231,0,1,bata tipo poncho bebe tema minie mouse pedidos 0988235680 gracias confianza gavilan777… httpstcofgwwyf90ki,"minie, bebe","tipo, confianza"
2018-10-20 02:22:08,305,Peru,@JBCPERU @gabrielitaaa10 @rosamariabartra @alvarosarco @mili_Brujita @msalazarcongres @Arimborgotammy @PBODigital… https://t.co/cjW5maBahO,9,124,12.88888888888889,0,0,jbcperu gabrielitaaa10 rosamariabartra alvarosarco milibrujita msalazarcongres arimborgotammy pbodigital… httpstcocjw5mabaho,"arimborgotammy, rosamariabartra","milibrujita, jbcperu"
2018-10-20 02:22:08,2083,Peru,"@canalN_ Solo 3 en la conferencia, donde están los demás kongresitas de la banKada?",7,51,6.428571428571429,0,1,canaln solo 3 conferencia demás kongresitas bankada,,"canaln, conferencia, kongresitas"
2018-10-20 02:22:12,285,Brasil,papai que isso,2,10,4.5,0,0,papai isso,,
2018-10-20 02:22:22,94,San Miguel,@MilagrosLeivaG Hay q cuidarlo d tiros y troyanos x q pueden atacarlo ahora o luego y echarle la culpa a Keiko. Así… https://t.co/wuPEFeBbWk,17,117,5.9411764705882355,0,0,milagrosleivag q cuidarlo d tiro troyanos x q pueden atacarlo ahora luego echarle culpa keiko así… httpstcowupefebbwk,"cuidarlo, echarle, atacarlo",milagrosleivag
2018-10-20 02:22:23,285,Brasil,oq foi essa bola de 3?,5,18,2.8,0,0,oq foi essa bola 3,,
2018-10-20 02:22:43,497,Brazil,Será que Raptors nessa temporada VAI?? #NBAnaESPN,5,36,6.4,1,0,raptor nessa temporada vai nbanaespn,,temporada
2018-10-20 02:22:44,823,Brasil,Jefer me contando das treta e eu reinciando o wi-fi 20x p poder responder ele kkkkk,13,74,4.769230769230769,0,0,jefer contando da treta eu reinciando wifi 20x p poder responder ele kkkkk,"responder, da, contando, reinciando",
2018-10-20 02:22:45,285,Brasil,que facínora do amor,3,16,4.666666666666667,0,0,facínora do amor,,"amor, facínora"
2018-10-20 02:22:46,1380,San Borja,"@JuanSheput Cuidado J.Sheput,,,estas dando la misma pésima imagen de H. Benítez y del dizque humorista Eduardo¡¡",12,94,6.916666666666667,0,0,juansheput cuidado jsheputestas dando misma pésima imagen h benítez dizque humorista eduardo¡¡,"dando, dizque, juansheput","benítez, imagen"
2018-10-20 02:22:48,9240,Lima,Súper interesante.,2,17,8.0,0,0,súper interesante,súper,
2018-10-20 02:22:51,556,Brasil,"@beyoncebrasil ai gente, cansei de ser tombado aoksak",7,48,6.0,0,0,beyoncebrasil ai gente cansei ser tombado aoksak,tombado,"gente, beyoncebrasil"
2018-10-20 02:22:52,25,Miraflores,No encuentro mi desmaquillador😭,2,25,12.0,0,0,encuentro desmaquillador😭,,desmaquillador
2018-10-20 02:22:52,14,Callao,@PPTeamKaren Seppp,2,17,8.0,0,0,ppteamkaren seppp,ppteamkaren,
2018-10-20 02:22:53,2578,Chile,@Soy_Tupecosa No lo hago... te presumo nada más 😂 digo al final solo los fologuers verdaderamente verdaderos te seg… https://t.co/BCbSSZYR1A,12,102,7.583333333333333,0,0,soytupecosa hago presumo 😂 digo final solo fologuers verdaderamente verdaderos seg… httpstcobcbsszyr1a,"digo, hago, fologuers","presumo, seg"
2018-10-20 02:22:56,284,Peru,Sex doll brothel in Moscow gets chatty ‘intelligent’ robot – but it can only speak English &amp; Chinese — RT World News https://t.co/FqMKWPX7R6,23,136,4.956521739130435,0,0,sex doll brothel in moscow get chatty ‘intelligent’ robot – but it can only speak english amp chinese — rt world news httpstcofqmkwpx7r6,chatty,"amp, brothel, world, but, only"
2018-10-20 02:22:58,1403,San Bartolo,@abbu25 Mucho fumó.,2,11,5.0,0,0,abbu25 fumó,fumó,
2018-10-20 02:22:58,45,La Perla,👏🏽👏🏽 #YDaleUTodaLaVida #ASF,3,25,7.666666666666667,2,0,👏🏽👏🏽 ydaleutodalavida asf,🏽,
2018-10-20 02:23:10,1018,Lima,"Por favor si saben donde está llamen a sus dueños. 
#AyudaloAVolver",6,43,6.333333333333333,1,0,favor si saben llamen dueños ayudaloavolver,saben,"dueños, favor"
2018-10-20 02:23:13,214460,San isidro,Extrañando a mi princesa @GisselleReyes 😭😝😭 en Country Club Lima Hotel https://t.co/fiMM6pMZhz,9,80,8.0,0,0,extrañando princesa gissellereyes 😭😝😭 country club lima hotel httpstcofimm6pmzhz,"lima, extrañando","😭, princesa"
2018-10-20 02:23:12,39846,Trujillo,"#esviernesyyonecesito es ahora una tendencia en Peru

https://t.co/65uhquM6zV https://t.co/rGxFFDPdd2",6,79,12.333333333333334,1,0,esviernesyyonecesito ahora tendencia peru httpstco65uhqum6zv httpstcorgxffdpdd2,,"httpstcorgxffdpdd2, esviernesyyonecesito, tendencia"
2018-10-20 02:23:17,44160,Brasil,Tem que desmascarar essa turma...👉Grupos de WhatsApp pró-Haddad proliferam e PT desconfia de armadilha dos fãs de B… https://t.co/dxgC9jLW02,14,115,7.285714285714286,0,0,tem desmascarar essa turma👉grupos whatsapp próhaddad proliferam pt desconfia armadilha do fãs b… httpstcodxgc9jlw02,desmascarar,"próhaddad, turma, grupos"
2018-10-20 02:23:17,254,La Banda de Shilcayo,📸 - Qué rico se regala en UNIQUE. Gracias por confiar. 📸🤘🏾🌴🌞 #friend #friends #fun #funny #smile #bff #bf #gf #love… https://t.co/40JR0cebzJ,17,107,5.352941176470588,9,0,📸 rico regala unique gracias confiar 📸🤘🏾🌴🌞 friend friend fun funny smile bff bf gf love… httpstco40jr0cebzj,"love, confiar","regala, smile"
2018-10-20 02:23:19,1578,Jose Luis Bustamante y Rivero,aber https://t.co/hFDe5pv4AR,2,23,11.0,0,0,aber httpstcohfde5pv4ar,aber,
2018-10-20 02:23:22,1403,San Bartolo,@MDesuk Hable bien.,3,17,5.0,0,0,mdesuk hable bien,hable,
2018-10-20 02:23:25,89,Los Olivos,No se debe escribir este hashtag #MulderRCTM,4,32,7.25,1,0,debe escribir hashtag mulderrctm,escribir,hashtag
2018-10-20 02:23:29,296,San Juan de Lurigancho,@Pulmon_de_Susan Hacer cortina de humo es un derecho..!!!!!,5,40,7.2,0,0,pulmondesusan hacer cortina humo derecho,"pulmondesusan, hacer",
2018-10-20 02:23:34,408,Trujillo,"#cncoencolombia❤️🇨🇴 😭😭😍💜❤️😱
@erickbriancolon @itsjoelpimentel @christophervele @zabdiel1344 @lumnayofficial… https://t.co/rElOtPo4Lf",8,121,14.25,1,0,cncoencolombia❤️🇨🇴 😭😭😍💜❤️😱 erickbriancolon itsjoelpimentel christophervele zabdiel1344 lumnayofficial… httpstcorelotpo4lf,christophervele,
2018-10-20 02:23:34,2847,La Molina,@Sreateguir @IDL_R No sera q sus enfermeros lo querían encerrar,7,51,6.428571428571429,0,0,sreateguir idlr serum q enfermeros querían encerrar,"querían, sreateguir","idlr, enfermeros"
2018-10-20 02:23:42,566,Sachaca,No quiero soñar mil veces las mismas cosas,6,35,5.0,0,0,quiero soñar mil veces mismas cosas,"soñar, quiero","veces, cosas"
2018-10-20 02:23:43,285,Brasil,que jogão ta esse toronto e boston pqp,6,32,4.5,0,0,jogão ta esse toronto boston pqp,jogão,toronto
2018-10-20 02:23:46,609,Huancayo,@JoseNoriega1969 Pero duda que no lo van a salvar ?,4,31,7.0,0,0,josenoriega1969 duda van salvar,salvar,
2018-10-20 02:23:57,319,Trujillo,@ximena_casanova Mira su estado de insta,3,25,7.666666666666667,0,0,ximenacasanova mira insta,mira,
2018-10-20 02:23:59,1160,San isidro,"Cuando me enteré que @franpetrozzi llego al Kongreso con la #SeñoraK me decepcionó , finalmente pudo ver la luz y a… https://t.co/uvpFWUp5bY",12,99,7.333333333333333,1,0,enteré franpetrozzi llego kongreso señorak decepcionó finalmente pudo ver luz a… httpstcouvpfwup5by,"enteré, decepcionó, ver",franpetrozzi
2018-10-20 02:24:02,110,Brasil,@gabvasa olhos naturais é essencial *-*,5,34,6.0,0,0,gabvasa olhos naturais é essencial,gabvasa,olhos
2018-10-20 02:24:03,213,Barranco,"By @mariotestino 🙌🏼 
.
.
.
.
.
.
.
.
#igersperu #lima #museum #musee #peru #mariotestino #photography #mode… https://t.co/sxLPeSWQCH",12,101,7.5,8,0,by mariotestino 🙌🏼 igersperu lima museum musee peru mariotestino photography mode… httpstcosxlpeswqch,"peru, musee",
2018-10-20 02:24:07,297,Huanchaco,"@jack_slade50 @WhatTheFFacts You know they were killed, etc, before the introduction of Xtianity, too, right? Peder… https://t.co/Gn57im89UZ",17,127,6.529411764705882,0,0,jackslade50 whattheffacts you know they were killed etc before the introduction of xtianity too right peder… httpstcogn57im89uz,"were, whattheffacts, peder",killed
2018-10-20 02:24:07,1403,San Bartolo,Otro CSM???,1,3,3.0,0,0,csm,,csm
2018-10-20 02:24:11,1254,Aucallama,"Things on my mind 💭
💙💪🎞📷💻🎙📚✍️🥊🥋 @ Miraflores, Lima https://t.co/AZeaLZddIb",9,65,6.333333333333333,0,0,thing on my mind 💭 💙💪🎞📷💻🎙📚✍️🥊🥋 miraflores lima httpstcoazealzddib,,"thing, miraflores, 🎙, mind"
2018-10-20 02:24:13,397,Peru,"@alfonsobaella @elcomercio_peru MARTÍN VIZCARRA, BORRACHO DE PODER CON RON ZACAPA – ALMUERZO – PATAS:  (MAURO MEDIN… https://t.co/1IAwXOi4dD",15,121,7.133333333333334,0,0,alfonsobaella elcomercioperu martín vizcarra borracho poder ron zacapa – almuerzo – patas mauro medin… httpstco1iawxoi4dd,"alfonsobaella, ron","patas, vizcarra"
2018-10-20 02:24:15,1202,Brasil,eu no verao kkkkk,3,14,4.0,0,0,eu verao kkkkk,,kkkkk
2018-10-20 02:24:19,285,Brasil,minnha mae do ceu ahahahahahahaha,5,33,5.8,0,0,minnha mae do ceu ahahahahahahaha,ceu,minnha
