date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics
2018-09-21 22:17:02,1943,San isidro,Armo mi peo -decente pero intensamente- claro está porque yo POR SUPUESTO coloqué pasaporte en mi requerimiento de… https://t.co/iDlSZRbM3g,19,139,6.368421052631579,0,0
2018-09-21 22:17:09,18,Santiago de Surco,Ni imaginas lo que sentí,5,24,4.0,0,0
2018-09-21 22:17:34,64,San Martin de Porres,Iai quem quer assistir a 7 temp cmg?,8,36,3.625,0,1
2018-09-21 22:17:39,237,Lima,"Partido ganado, pero nos llegan por todos lados.",8,48,5.125,0,0
2018-09-21 22:17:56,1901,La Perla,Triunfazo de @ClubALoficial. Así nomas no se gana en la plaza difícil de Moyobamba y frente a un tremendo equipo como Unión Comercio.,23,133,4.826086956521739,0,0
2018-09-21 22:18:03,64,San Martin de Porres,Alguém? Não? Ngm? Okay vamo então,6,33,4.666666666666667,0,0
2018-09-21 22:18:17,98,San Miguel,"@JoseMartSN @TorresCassano @StyloyColor @Politica_LR Peor aún, que otros que actúan con ellos, retwittean como si f… https://t.co/78pj2NZEOL",17,140,7.294117647058823,0,0
2018-09-21 22:18:20,773,San isidro,Lu también aplicara el “lo qué pasa es que tengo más amigos como tú?” 😏😂🙊  @dannapaola,17,86,4.375,0,0
2018-09-21 22:18:26,105,Ate,"Quieres atrapar a un hombre con pareja? El truco está en bloquear a la esposa/novia/girlfriend, para decirle que te… https://t.co/G2OGq4lAU0",20,140,6.05,0,0
2018-09-21 22:18:35,77,Peru,"@Belmercarmenav @alvarezrodrich @canalN_ Pobres gatitos, se van a envenenar.",9,76,7.555555555555555,0,0
2018-09-21 22:18:38,98,San Miguel,@JoseMartSN @TorresCassano @StyloyColor @Politica_LR Otro para usted. Bendiciones.,8,82,9.375,0,0
2018-09-21 22:18:55,68439,Miraflores,🥀,1,1,1.0,0,0
2018-09-21 22:18:58,129,San Miguel,Ya quiero ir al Ultra 😭😭😭,6,25,3.3333333333333335,0,0
2018-09-21 22:19:10,510,La Molina,Sol + Capoeira = 👊🏻❤️,5,21,3.4,0,0
2018-09-21 22:19:20,3248,San isidro,3 puntos importantes,3,20,6.0,0,1
2018-09-21 22:19:21,497,Lima,Qué idiota....,2,14,6.5,0,0
2018-09-21 22:19:27,182,Lima,Hola @Planeta107FM votamos por #FAKE_LOVE de @BTS_twt para que suba en el #RankingPlaneta ☺️,14,92,5.642857142857143,2,0
2018-09-21 22:20:11,18,Lima,"@NellyCuadrosC @ClaraEOspinaG @BankadaFP Y or ejemplo, sinvergüenza es sinónimo de congresista de la fuerza 1 #ReferéndumYa",16,123,6.75,1,1
